transaction_id,order_date,customer_id,customer_name,customer_email,customer_city,customer_country,product_id,product_name,category,subcategory,brand,unit_price,quantity,discount_percent,tax_percent,shipping_cost,total_amount,payment_method,currency,sales_channel,salesperson_id,salesperson_name,region,warehouse_id,order_status,delivery_date,customer_rating,return_flag,notes
TX103889,,C33028,Luis Velez,kfrye@example.net,Richardsonport,UNITED STATES,P0035,Kraton Washing Machines 890,Appliances,Washing Machines,Kraton,5133.04,3,10,23,0,"13,859.21",mobile payment,USD,online,S020,Carla Gray,Pacific Northwest,CHI-03,Completed,2023-08-12 00:00:00,5,no,-
TX101880,2023-12-22,C99928,Jessica Aguirre,mlewis@example.net,Ayalaland,united states,P0094,Sunwood Furniture 281,Home & Garden,Furniture,Sunwood,4420.76,1,20,23,14.99,3551.60,bank transfer,USD ,online,S035,Debra Davidson,Gulf Coast,NYC-01,COMPLETED,2024-01-03,4,NO,Complaint under review
TX117579,19/03/2023,C26426,Katie Brown,gfreeman@example.net,Riddleton,UNITED STATES,P0182,Lumira Facial Care 514,Beauty,Facial Care,Lumira,"5417,25",1,0,23,0,"5 417,25",PayPal,USD,online,S014,Michele Williams,Great Lakes,CHI-03,completed,2023-03-27,2,no,N/A
TX100003,2023-11-28,C75444,Eddie Perry,ldiaz@example.com, Lake Nicole,UNITED STATES,P0075,Kraton T-shirts 469,Apparel,T-shirts,Kraton,1601.99 USD,1,15,23,19.99 USD,1381.68 USD,cash,USD ,call center,S007,Abigail Shaffer,Midwest,CHI-03,pending,2023-12-05,1,1,
TX115818,06/02/2023,C96980,Robert Barrett,ryanbullock@example.com,Josephfort,USA,P0198,Groveo Makeup 291,Beauty,Makeup,Groveo,3485.95,3,10,23,0,9412.06,credit card,usd,marketplace,S006,Connie Lawrence,West Coast,CHI-03,returned,17/02/2023,,NO,Payment system error - fixed manually
TX100561,2024-11-03,C21188,Julie Williams,smithjose@example.org,Reedmouth,UNITED STATES,P0099,Lumira Lighting 348,Home & Garden,Lighting,Lumira,361.97,2,10,23,0,651.55,cash on delivery,usd,marketplace,S024,Tommy Walter,Mountain West,SEA-05,pending,05/11/2024,4,NO,Complaint under review
TX107322,03/10/2023,C79003,Timothy Dunlap,kimberlyjones@example.net,Coleland, United States,P0063,Orvex Jackets 672,Apparel,Jackets,Orvex,"620,94",1,0,23,9.99,"630,93",Bank Transfer,usd,mobile app,S001,Allison Hill,Southeast,SEA-05,cancelled,17/03/2023,3,NO,
TX110362N,2024-07-03,C84177,Stacey Clark,muellerkrystal@example.net,East Williamhaven,united states,P0150,Vantia Athletic Shoes 483,Sports,Athletic Shoes,Vantia,-731.83,1,0,23,"19,99",751.82,mobile payment,usd,physical store,S001,Allison Hill,Pacific Northwest,SEA-05,completed,2024-07-11,5,no,Priority order
TX110369,08/12/2024,C46211,Ashlee Brown,ortegakristina@example.org,East Alexatown, United States,P0061,Primo Jackets 497,Apparel,Jackets,Primo,3831.59,1,5,23,19.99,3660.00 USD,bank transfer ,USD ,online,S016,Brian Ramirez,Great Lakes,LAX-02,Completed,2024-12-22,2,NO,
TX118799,"September 10, 2024",C52906,Darren Pham,dhardin@example.net,Sherrymouth,united states,P0200,Boreo Hair Care 568,Beauty,Hair Care,Boreo,$5083.99,2,25,23,"14,99",7640.97,Credit Card,$,online,S015,Dylan Miller,Pacific Northwest,LAX-02,in progress,2024-09-24,,NO,N/A
TX101770,2023-03-28,C16632,Jason Howard,davismichelle@example.net,West Edwardport,US,P0048,Lumira Coffee Makers 376,Appliances ,Coffee Makers,Lumira,3035.32,1,0,23,0,3035.32,mobile payment,$,mobile app,S031,Rebecca Henderson,Gulf Coast,SEA-05,COMPLETED,06.04.2023,1,NO,Delayed delivery
TX116050,2023-03-23,C72049,Kristopher Pierce,millerlindsey@example.org,East Kennethfort,United States,P0181,Vantia Facial Care 337,Beauty,Facial Care,Vantia,3093.05,4,10,23,14.99,11149.97,Bank Transfer,USD,physical store,S016,Brian Ramirez,Pacific Northwest,SEA-05,completed,2023-04-02,,no,
TX101720,08/12/2024,C30861,Carolyn Webster,beltrancorey@example.org,Richardsonshire,United States,P0102,Lumira Lighting 502,Home & Garden,Lighting,Lumira,175.43,1,15,23,0,$149.12,mobile payment,$,mobile app,S033,Tricia Valencia,Southwest,CHI-03,in progress,17/12/2024,5,no,
TX101228,,C46160,rebekah barker,gloriaward@example.net,JAMESMOUTH,USA,P0108,Groveo Tools 127,Home & Garden,Tools,Groveo,"312,17",1,15,23,"14,99",280.33,mobile payment,USD,mobile app,S011,Monica Herrera,Great Lakes,LAX-02,in progress ,23.05.2023,1,no,Delayed delivery
TX113067,27.12.2023,C94765,Kerri Taylor,andrewlewis@example.org,Shortville,UNITED STATES,P0074,Vantia T-shirts 901,Apparel,T-shirts,Vantia,5470.87,2,10,23,9.99,9857.56 USD,cash on delivery,$,online,S031,Rebecca Henderson,Gulf Coast,LAX-02,returned item,04.01.2024,5,no,
TX114051,,C79226,Robert Nelson,juan59@example.com,Frenchtown,United States,P0206,Tessara Personal Hygiene 501,Beauty,Personal Hygiene,Tessara,4864.46,2,10,23,$14.99,8771.02,Credit Card,USD,physical store,S032,James Ferrell,Pacific Northwest,CHI-03,Pending ,2023-01-30,5,NO,
TX112348,07.08.2023,C93227,Crystal Pham,danaoliver@example.net,Lake Colton,USA,P0202,Kindra Hair Care 983,Beauty,Hair Care,Kindra,1899.88,1,10,23,0,1709.89,Bank Transfer,usd,online,S013,Lisa Hensley,West Coast,DAL-04,in progress ,2023-08-21,5,YES,-
TX114208,29/01/2024,C95175,Gary Benson,fnolan@example.org,Matthewmouth,US,P0188,Northal Perfume 302,Beauty ,Perfume,Northal,4962.96,3,0,23,0,,mobile payment,usd,call center,S038,Cassandra Gaines,Mountain West,CHI-03,pending,02/10/2024,,yes,Payment system error - fixed manually
TX102219,2023-09-13,C28320,Theresa Conrad,sean92@example.org,West Jasonborough,United States,P0186,Primo Facial Care 129,Beauty ,Facial Care,Primo,1526.67,1,20,23,"14,99",1236.33 USD,credit card,USD,mobile app,S027,Justin Baker,Southeast,SEA-05,Completed,25.09.2023,4,NO,
TX118438,03/06/2024,C19838,Rebecca Lane,sheilamyers@example.net,South Rebecca,united states,P0131,Orvex Fitness Equipment 931,Sports,Fitness Equipment,Orvex,$4004.09,4,0,23,$19.99,16036.35 USD,bank transfer,USD ,mobile app,S009,Gabrielle Davis,West Coast,LAX-02,in progress,2024-06-15,,,no comment
TX116949,"September 29, 2023",C96200,Susan Johnson,lindseydixon@example.net,Shelbyfurt,united states,P0094,Sunwood Furniture 281,Home & Garden,Furniture,Sunwood,"4359,69",1,5,23,0,4141.71 USD,Card Payment,$,mobile app,S013,Lisa Hensley,West Coast,SEA-05,in progress ,2023-10-07,4,no,Priority order
TX116387,2023-02-26,C87518,Ronald Page,hurleybrandon@example.net,Robinsonmouth,united states,P0122,Lumira Bicycles 486,Sports,Bicycles,Lumira,"4145,04",3,5,23,0,11813.36,CREDIT CARD,$,marketplace,S006,Connie Lawrence,Mid-Atlantic,NYC-01,in progress ,2023-02-27,,no,no comment
TX116129,2023-07-19,C18109,Sandra Jones,triciaedwards@example.org,Whiteville,US,P0169,Kraton Toy Vehicles 407,Toys,Toy Vehicles,Kraton,702.85,2,0,23,"9,99","1 415,69",cash on delivery,usd,marketplace,S037,Sherri Baker,Mid-Atlantic,CHI-03,in progress,28/07/2023,2,NO,
TX112154,2024-11-13,C70249,Natalie Smith,mcrawford@example.net,Montgomeryport, United States,P0205,Tessara Personal Hygiene 497,Beauty,Personal Hygiene,Tessara,1554.24 USD,4,0,23,0,6216.96,Card Payment,$,marketplace,S029,Zachary Hicks,Mid-Atlantic,SEA-05,Cancelled,2024-11-25,4,NO,Delayed delivery
TX105873,2023-06-04,C64890,Karen Bennett,zbailey@example.com,Russellton,united states,P0205,Tessara Personal Hygiene 497,Beauty,Personal Hygiene,Tessara,2676.75,1,20,23,$19.99,2161.39,CREDIT CARD,usd,mobile app,S017,Holly Wood,Mountain West,LAX-02,in progress ,06/14/2023,3,,N/A
TX105112,2024-04-22,C50319,Allen Stanley,hbell@example.net,West Ryanberg,USA,P0075,Kraton T-shirts 469,Apparel,T-shirts,Kraton,"2616,24",5,10,23,19.99,$11793.07,bank transfer ,$,online,S032,James Ferrell,Southeast,LAX-02,Cancelled,2024-05-05,,,Duplicate order - needs verification
TX104555,21/02/2023,C69233,Dawn Haynes,wileyaudrey@example.com,Hollybury,united states,P0041,Orvex Refrigerators 902,Appliances,Refrigerators,Orvex,524.70 USD,2,15,23,0,891.99,Card Payment,$,online,S037,Sherri Baker,,CHI-03,Completed,01/03/2023,,YES,Delayed delivery
TX107626,24/05/2024,C66155,Sydney Collins,tanderson@example.org,Angelicamouth,USA,P0099,Lumira Lighting 348,Home & Garden,Lighting,Lumira,"1 329,95",1,0,23,0,"1329,95",Credit Card,USD ,call center,S020,Carla Gray,Great Lakes,NYC-01,Completed,2024-06-07,1,yes,
TX110633,2023-12-27,C41711,Laura Williams,smorales@example.net,New Glennhaven,united states,P0113,Orvex Decor 170,Home & Garden,Decor,Orvex,4654.63 USD,1,0,23,$9.99,$4664.62,mobile payment,USD ,call center,S030,Anthony Rodriguez,Mountain West,CHI-03,Cancelled,05.01.2024,,NO,Complaint under review
TX103159,2024-09-07 00:00:00,C22363,Aaron Schroeder,simonstephen@example.net,melissaside,UNITED STATES,P0078,Vantia T-shirts 708,Apparel,T-shirts,Vantia,$1546.94,3,20,23,$9.99,$3722.65,bank transfer,USD,marketplace,S025,Matthew Foster,Northeast,NYC-01,in progress ,2024-09-15,3,YES,-
TX106489,"August 2, 2023",C82443,Ana Douglas,lgonzalez@example.org,Jasontown, United States,P0006,Fabex Smartphones 829,Electronics,Smartphones,Fabex,1984.32,1,15,23,14.99 USD,"1701,66",bank transfer,USD,online,S012,Jamie Arnold,Northeast,CHI-03,completed,11.08.2023,,no,-
TX113607,19/12/2023,C46471,Mark Johnson,john46@example.net,Lake Brianstad, United States,P0206,Tessara Personal Hygiene 501,Beauty,Personal Hygiene,Tessara,969.89,1,5,23,0,"921,40",bank transfer ,USD ,online,S040,Brittany Farmer,Mid-Atlantic,DAL-04,returned item,12/25/2023,4,NO,no comment
TX104083,25/09/2023,C53343,Elizabeth Haney,sotokathleen@example.org,Ashleychester,US,P0155,Sunwood Building Blocks 125,Toys,Building Blocks,Sunwood,"4 821,10",1,0,23,14.99 USD,4836.09, Mobile Payment,USD,call center,S008,Gina Moore,Gulf Coast,DAL-04,completed,01.10.2023,3,NO,
TX104487,05/22/2024,C82063,Michael Shaffer,harttammy@example.net,South John, United States,P0168,Vantia Dolls 426,Toys,Dolls,Vantia,"3685,32",10,10,23,"14,99","33182,87",mobile payment,USD ,online,S016,Brian Ramirez,Southwest,SEA-05,in progress ,"June 2, 2024",5,NO,-
TX118453,18/07/2023,C56210,Alison Williams,ortegasandra@example.net,New Brandon, United States,P0202,Kindra Hair Care 983,Beauty,Hair Care,Kindra,512.69 USD,1,0,23,14.99,527.68,cash,usd,marketplace,S001,Allison Hill,Mountain West,NYC-01,cancelled,2023-07-28,,no,-
TX108797,"August 14, 2023",C37011,Diane Davidson,moralestrevor@example.org,Lake Ryanstad,UNITED STATES,P0022,Fabex Tablets 177,Electronics,Tablets,Fabex,$447.85,1,5,23,14.99,440.45,Credit Card,usd,marketplace,S016,Brian Ramirez,West Coast,LAX-02,Completed,08/26/2023,5,NO,Priority order
TX105091,2023-08-20,C78146,Alicia Ray,lauren51@example.org,Marymouth,UNITED STATES,P0132,Groveo Fitness Equipment 708,Sports,Fitness Equipment,Groveo,$4477.93,10,0,23,14.99,"44 794,29",bank transfer,USD,marketplace,S005,Cristian Santos,Gulf Coast,SEA-05,Pending ,27/08/2023,2,NO,no comment
TX104090,2024-04-18,C59735,Audrey Williams,torrestravis@example.org,New Derek,UNITED STATES,P0012,Fabex Laptops 498,Electronics,Laptops,Fabex,4557.09,2,0,23,19.99 USD,"9 134,17",mobile payment,USD,physical store,S017,Holly Wood,West Coast,LAX-02,Cancelled,05/02/2024,,NO,N/A
TX108923,2023-07-27,C87812,Robert Ford,ubowers@example.com,Port Mark,US,P0061,Primo Jackets 497,Apparel,Jackets,Primo,"401,17",1,15,23,"14,99",355.98, Mobile Payment,USD,mobile app,S015,Dylan Miller,West Coast,LAX-02,pending,"August 9, 2023",1,no,
TX104748,,C91439,David Harper,trevorgoodwin@example.com,West  Brucemouth, United States,P0054,Kraton Vacuum Cleaners 126,Appliances,Vacuum Cleaners,Kraton,4956.75,1,0,23,9.99,4966.74 USD,PayPal,usd,online,S002,Noah Rhodes,Mountain West,LAX-02,Cancelled,2024-05-21,1,NO,
TX118026,16/06/2023,C59015,Joshua Nelson,michael13@example.org,Port Elizabeth,UNITED STATES,P0193,Elektra Makeup 870,Beauty,Makeup,Elektra,"1 376,93",1,0,23,19.99,1396.92,PayPal,usd,call center,S027,Justin Baker,Pacific Northwest,DAL-04,in progress,2023-06-19,,NO,
TX117536,05/21/2024,C59192,Chad Williams,larrygraham@example.net,Larryside,US,P0117,Vantia Gardening 242,Home & Garden,Gardening,Vantia,2100.57 USD,2,0,23,0,4201.14 USD,credit card,USD,marketplace,S008,Gina Moore,Gulf Coast,DAL-04,in progress ,26.05.2024,5,,
TX104492,2023-11-28,C51116,Matthew Allison,gduke@example.net,Michaelshire,UNITED STATES,P0192,Boreo Perfume 310,Beauty,Perfume,Boreo,3277.03,1,15,23,0,2785.48,mobile payment,USD ,online,S016,Brian Ramirez,Gulf Coast,DAL-04,completed,30/11/2023,2,NO,
TX112648,04/09/2023,C72216,Michael Rodriguez,tina63@example.net,South Daniel,united states,P0062,Lumira Jackets 186,Apparel,Jackets,Lumira,1097.20,1,10,23,19.99 USD,"1007,47",credit card,usd,physical store,S016,Brian Ramirez,Gulf Coast,LAX-02,returned,12/04/2023,3,,Customer requested an invoice
TX112161,06.02.2023,C56346,Lisa Gonzalez,mccoyjames@example.org,South Dawn, United States,P0066,Milvex Jackets 801,Apparel,Jackets,Milvex,"4 829,42",1,5,23,9.99,"4,597.94",bank transfer ,$,call center,S021,Margaret Hawkins DDS,Mountain West,DAL-04,completed,2023-02-13,1,no,
TX114888,2023-05-13,C87184,Beth Green,paynestephanie@example.net,Port Richardside , United States,P0060,Nova Microwaves 398,Appliances,Microwaves,Nova,3990.11,1,15,23,0,3391.59,Bank Transfer,$,online,S031,Rebecca Henderson,Pacific Northwest,NYC-01,completed,2023-05-20,,NO,N/A
TX112344,,C45018,John Golden DDS,johnsonanthony@example.net,Lake Jill,United States,P0209,Fabex Personal Hygiene 568,Beauty,Personal Hygiene,Fabex,"4710,05",1,0,23,9.99 USD,4720.04,PayPal,USD,mobile app,S037,Sherri Baker,Pacific Northwest,NYC-01,completed,2023-09-24,5,NO,Duplicate order - needs verification
TX103196,29.03.2023,C29358,carrie anderson,wesleyjohns@example.com,Brandonchester, United States,P0011,Tessara Laptops 954,Electronics,Laptops,Tessara,"2540,35",2,0,23,0,,Credit Card,$,mobile app,S004,Daniel Wagner,Southwest,DAL-04,in progress ,2023-04-09,2,NO,Complaint under review
TX112355,2023-04-03,C56805,Jennifer Hill,earlfoley@example.org,East Jamesfort,US,P0094,Sunwood Furniture 281,Home & Garden,Furniture,Sunwood,$4475.33,1,5,23,0,"4251,56",Card Payment,$,mobile app,S035,Debra Davidson,Pacific Northwest,NYC-01,COMPLETED,2023-04-09,2,NO,no comment
TX115386,2024-10-15 00:00:00,C72049,Kristopher Pierce,millerlindsey@example.org,East Kennethfort,USA,P0104,Northal Tools 677,Home & Garden,Tools,Northal,1845.08,2,5,23,0,3505.65,Credit Card,usd,physical store,S006,Connie Lawrence,Pacific Northwest,DAL-04,COMPLETED,25/10/2024,4,NO,Customer requested an invoice
TX118760,2023-10-03,C49691,Robert Keith,jennifer54@example.org,Port Angelaport, United States,P0016,Milvex Headphones 909,Electronics,Headphones,Milvex,4674.87,3,5,23,9.99,13333.37,Bank Transfer,$,call center,S003,Angie Henderson,Mid-Atlantic,SEA-05,Pending ,2023-10-10,,NO,-
TX103871,04/03/2024,C16258,Tammy Richards,madelinebrooks@example.net,Julieside,United States,P0039,Kraton Refrigerators 374,Appliances,Refrigerators,Kraton,"2,538.00",1,5,23,9.99,,bank transfer ,USD,mobile app,S017,Holly Wood,Northeast,SEA-05,COMPLETED,07.04.2024,,,Duplicate order - needs verification
TX107906,19/08/2023,C84747,John Joyce,tuckersheila@example.net,East Samanthafurt,united states,P0185,Kindra Facial Care 542,Beauty,Facial Care,Kindra,"4 649,34",2,0,23,0,9298.68,mobile payment,USD,physical store,S012,Jamie Arnold,Midwest,NYC-01,completed,25/08/2023,,NO,Priority order
TX103272,2023-03-19,C78955,Lisa Underwood MD,pennyholloway@example.com,West Brittneyhaven,US,P0032,Primo Washing Machines 290,Appliances,Washing Machines,Primo,"3,974.47",1,5,23,14.99,3790.74, Mobile Payment,USD,mobile app,S010,Ryan Munoz,Great Lakes,DAL-04,cancelled,2023-03-25,3,NO,Payment system error - fixed manually
TX114195,2024-08-04,C83116,Dwayne Delacruz,john19@example.com,Port Kathleen,united states,P0121,Orvex Bicycles 533,Sports,Bicycles,Orvex,,2,15,23,"19,99","3083,42",Credit Card,$,marketplace,S004,Daniel Wagner,Midwest,SEA-05,Pending ,2024-08-10,,NO,
TX111162,2024-05-24 00:00:00,C71348,Susan Mendez,yhill@example.org,Lake Danastad,United States,P0090,Tessara Accessories 239,Apparel,Accessories,Tessara,"3137,29",1,0,23,19.99,"3 157,28",PayPal,USD,call center,S021,Margaret Hawkins DDS,Mountain West,SEA-05,in progress,2024-05-27,2,no,-
TX101523,03.03.2023,C68079,Sarah Roberts,kevinmendez@example.org,Port Heathermouth,United States,P0018,Kraton Headphones 612,Electronics,Headphones,Kraton,"1 443,47",4,0,23,"9,99",5783.87,cash,usd,mobile app,S017,Holly Wood,Mountain West,DAL-04,cancelled,03/07/2023,5,NO,Complaint under review
TX118607,06/23/2024,C26544,Tonya Peters,smithsteven@example.net,Deniseburgh,UNITED STATES,P0128,Orvex Fitness Equipment 528,Sports,Fitness Equipment,Orvex,,10,5,23,9.99,36324.69,Credit Card,usd,call center,S024,Tommy Walter,Southwest,LAX-02,COMPLETED,05/07/2024,5,NO,
TX100188,2023-04-11,C25118,Darrell Ortiz,schaeferstephanie@example.org,Port James,US,P0019,Orvex Tablets 454,Electronics,Tablets,Orvex,,2,0,23,"19,99",$4001.79,Credit Card,usd,marketplace,S022,Patty Perez,Pacific Northwest,DAL-04,completed,25/04/2023,,yes,-
TX107949,15/01/2024,C43065,Virginia Cunningham,michaelmitchell@example.net,Lake Nicholas,united states,P0002,Northal Smartphones 970,Electronics,Smartphones,Northal,"2 854,70",3,10,23,0,7707.69 USD,bank transfer,usd,marketplace,S020,Carla Gray,,LAX-02,in progress ,2024-01-29,4,YES,
TX101939,2023-01-24,C70515,Rachel Hammond PhD,paula89@example.net,Lake Brentmouth,USA,P0093,Boreo Furniture 590,Home & Garden,Furniture,Boreo,1429.17,3,15,23,"14,99","3659,37",mobile payment,$,call center,S017,Holly Wood,West Coast,CHI-03,Completed,07/02/2023,2,NO,Duplicate order - needs verification
TX110478,2024-08-07,C82089,April Hull,john52@example.net,Bobbystad,USA,P0158,Northal Board Games 187, Toys,Board Games,Northal,1014.06,2,5,23,0,1926.71 USD,Credit Card,USD,online,S037,Sherri Baker,Southeast,CHI-03,returned,15/08/2024,5,NO,Duplicate order - needs verification
TX100716,2023-09-01,C96799,Stephanie Cain,meadowsbrian@example.org,New Lorishire, United States,P0103,Sunwood Tools 216,Home & Garden,Tools,Sunwood,$3751.70,1,20,23,19.99,3021.35 USD,cash on delivery,USD,mobile app,S039,Elizabeth Fowler,Midwest,NYC-01,pending,15/09/2023,4,no,Duplicate order - needs verification
TX117641,"October 23, 2023",C55870,Elizabeth Tucker PhD,kristenfisher@example.com,Jasonfort,United States,P0148,Tessara Athletic Shoes 804,Sports,Athletic Shoes,Tessara,,1,5,23,0,3060.62,PayPal,USD ,mobile app,S010,Ryan Munoz,Southwest,NYC-01,in progress,10/30/2023,,NO,N/A
TX107383,2023-05-08 00:00:00,C40735,Matthew Watkins,meltondanny@example.org,New Markmouth,United States,P0150,Vantia Athletic Shoes 483,Sports,Athletic Shoes,Vantia,"3 413,31",2,0,23,9.99 USD,"6836,61",PayPal,usd,marketplace,S037,Sherri Baker,Great Lakes,CHI-03,in progress,2023-05-12,,NO,-
TX104186,17/04/2024,C79774,George Odonnell,morganwarner@example.org,East Jordan,united states,P0028,Elektra Phone Accessories 902,Electronics,Phone Accessories,Elektra,3151.72,2,0,23,,,Bank Transfer,USD,call center,S022,Patty Perez,Northeast,SEA-05,COMPLETED,01/05/2024,3,no,Delayed delivery
TX116547,2023-08-10,C59343,Anthony Mcclain,esmith@example.com,Herringbury,US,P0080,Vantia Pants 209,Apparel,Pants,Vantia,5054.12,4,0,23,"14,99","20231,47",PayPal,USD,physical store,S040,Brittany Farmer,Mid-Atlantic,SEA-05,cancelled,2023-08-13,3,NO,Complaint under review
TX105184,10/26/2024,C70899,Brandon Davis,jamesstrong@example.net,Jonesland, United States,P0168,Vantia Dolls 426,Toys,Dolls,Vantia,"256,70",4,15,23,,892.77,bank transfer ,USD ,physical store,S003,Angie Henderson,Southwest,CHI-03,Pending ,05/11/2024,2,NO,
TX113341,10/25/2023,C90534,Caroline Gordon,derek41@example.net,Lake Thomasport,UNITED STATES,P0180,Groveo Puzzles 536,Toys,Puzzles,Groveo,2188.40,4,0,23,"9,99",8763.59 USD,PayPal,USD,marketplace,S009,Gabrielle Davis,Southeast,DAL-04,cancelled,31/10/2023,5,no,Priority order
TX103294,12/05/2024,C26828,Amy Gordon,jim95@example.net,Joelberg,united states,P0057,Tessara Microwaves 712,Appliances,Microwaves,Tessara,2014.30,2,,23,14.99,"3 842,16", Mobile Payment,usd,online,S040,Brittany Farmer,Mid-Atlantic,NYC-01,returned item,,2,no,
